battery,charger_distance,accepted_drones_count,charger_capacity,neighbor_drones_average_battery,neighbor_drones,potential_drones,accepted_drones_missing_battery,charging_drones_count,charging_drones_missing_battery,potential_drones_with_lower_battery,waiting_drones_count,waiting_drones_with_lower_battery,time
0.28499999999999936,0.16124515496597097,1.0,0.3333333333333333,0.3019999999999993,0.8333333333333334,4.0,0.7550000000000007,0.5,0.38750000000000034,0.0,1.5,0.0,0
0.38999999999999946,0.27202941017470883,1.0,0.3333333333333333,0.3737499999999994,0.4,5.0,0.6800000000000006,0.0,0.0,0.2,0.5,0.0,17
0.38499999999999945,0.27202941017470883,1.0,0.3333333333333333,0.36874999999999947,0.4,5.0,0.6900000000000006,0.0,0.0,0.2,1.0,0.05,16
0.37999999999999945,0.27202941017470883,1.0,0.3333333333333333,0.36374999999999946,0.4,5.0,0.7000000000000006,0.0,0.0,0.2,1.0,0.05,15
0.37499999999999944,0.27202941017470883,1.0,0.3333333333333333,0.35874999999999946,0.4,5.0,0.7100000000000006,0.0,0.0,0.2,1.0,0.05,14
0.36999999999999944,0.27202941017470883,1.0,0.3333333333333333,0.3537499999999994,0.4,5.0,0.7200000000000006,0.0,0.0,0.2,1.0,0.05,13
0.36499999999999944,0.27202941017470883,1.0,0.3333333333333333,0.34874999999999945,0.4,5.0,0.7300000000000006,0.0,0.0,0.2,1.0,0.05,12
0.35999999999999943,0.27202941017470883,1.0,0.3333333333333333,0.34374999999999944,0.4,5.0,0.7400000000000007,0.0,0.0,0.2,1.0,0.05,11
0.3549999999999994,0.27202941017470883,1.0,0.3333333333333333,0.33874999999999944,0.4,5.0,0.7500000000000007,0.0,0.0,0.2,1.0,0.05,10
0.3499999999999994,0.27202941017470883,1.0,0.3333333333333333,0.33374999999999944,0.4,5.0,0.7600000000000007,0.0,0.0,0.2,1.0,0.05,9
0.3449999999999994,0.27202941017470883,1.0,0.3333333333333333,0.32874999999999943,0.4,5.0,0.7700000000000007,0.0,0.0,0.2,1.0,0.05,8
0.3399999999999994,0.27202941017470883,1.0,0.3333333333333333,0.3237499999999994,0.4,5.0,0.7800000000000007,0.0,0.0,0.2,1.5,0.1,7
0.3349999999999994,0.27202941017470883,1.0,0.3333333333333333,0.3187499999999994,0.4,5.0,0.7900000000000007,0.0,0.0,0.2,2.0,0.15,6
0.3299999999999994,0.27202941017470883,1.0,0.3333333333333333,0.3137499999999994,0.4,5.0,0.7350000000000007,0.5,0.40750000000000036,0.2,2.0,0.15,5
0.3249999999999994,0.27202941017470883,1.0,0.3333333333333333,0.3087499999999994,0.4,5.0,0.7425000000000006,0.5,0.38750000000000034,0.2,2.0,0.15,4
0.3199999999999994,0.27202941017470883,1.0,0.3333333333333333,0.30333333333333273,0.3,4.0,0.7525000000000006,0.5,0.3675000000000004,0.15,2.0,0.15,3
0.3149999999999994,0.27202941017470883,0.5,0.3333333333333333,0.29833333333333273,0.3,4.0,0.3550000000000003,1.0,0.7550000000000008,0.15,2.0,0.15,2
0.3099999999999994,0.27202941017470883,0.5,0.3333333333333333,0.2933333333333327,0.3,4.0,0.3600000000000003,1.0,0.7150000000000007,0.15,2.0,0.15,1
0.3049999999999994,0.27202941017470883,1.0,0.3333333333333333,0.2883333333333327,0.3,4.0,0.7125000000000006,1.0,0.6750000000000007,0.15,2.0,0.15,0
0.2999999999999994,0.27202941017470883,1.0,0.3333333333333333,0.2833333333333327,0.3,4.0,0.7200000000000006,1.0,0.6350000000000008,0.15,2.0,0.15,0
0.28999999999999937,0.13038404810405296,1.0,0.3333333333333333,0.3089999999999994,0.625,5.0,0.7475000000000007,0.0,0.0,0.0,2.5,0.0,6
0.28499999999999936,0.13038404810405296,1.0,0.3333333333333333,0.3039999999999994,0.625,5.0,0.7575000000000007,0.0,0.0,0.0,2.5,0.0,5
0.27999999999999936,0.13038404810405296,1.0,0.3333333333333333,0.2989999999999994,0.625,5.0,0.7675000000000007,0.0,0.0,0.0,2.5,0.0,4
0.27499999999999936,0.13038404810405296,1.0,0.3333333333333333,0.29399999999999943,0.625,5.0,0.7775000000000007,0.0,0.0,0.0,2.5,0.0,3
0.26999999999999935,0.13038404810405296,1.0,0.3333333333333333,0.28899999999999937,0.625,5.0,0.7875000000000008,0.0,0.0,0.0,2.5,0.0,2
0.26499999999999935,0.13038404810405296,1.0,0.3333333333333333,0.28399999999999936,0.625,5.0,0.7975000000000008,0.0,0.0,0.0,2.5,0.0,1
0.25999999999999934,0.13038404810405296,1.0,0.3333333333333333,0.27899999999999936,0.625,5.0,0.7725000000000006,0.5,0.40500000000000036,0.0,2.5,0.0,0
0.25499999999999934,0.13038404810405296,0.5,0.3333333333333333,0.2739999999999994,0.625,5.0,0.37250000000000033,1.0,0.7965000000000007,0.0,2.5,0.0,0
0.3549999999999994,0.22135943621178655,1.0,0.3333333333333333,0.3319999999999994,0.8333333333333334,4.0,0.7500000000000007,0.0,0.0,0.15,1.0,0.05,14
0.3499999999999994,0.22135943621178655,1.0,0.3333333333333333,0.3269999999999994,0.8333333333333334,4.0,0.7600000000000007,0.0,0.0,0.15,1.5,0.1,13
0.3449999999999994,0.22135943621178655,1.0,0.3333333333333333,0.32199999999999934,0.8333333333333334,4.0,0.7700000000000007,0.0,0.0,0.15,1.5,0.1,12
0.3399999999999994,0.22135943621178655,1.0,0.3333333333333333,0.3169999999999994,0.8333333333333334,4.0,0.7800000000000007,0.0,0.0,0.15,1.5,0.1,11
0.3349999999999994,0.22135943621178655,1.0,0.3333333333333333,0.3119999999999994,0.8333333333333334,4.0,0.7900000000000007,0.0,0.0,0.15,1.5,0.1,10
0.3299999999999994,0.22135943621178655,1.0,0.3333333333333333,0.3069999999999994,0.8333333333333334,4.0,0.7475000000000007,0.5,0.40750000000000036,0.15,1.5,0.1,9
0.3249999999999994,0.22135943621178655,1.0,0.3333333333333333,0.3019999999999993,0.8333333333333334,4.0,0.7550000000000007,0.5,0.38750000000000034,0.15,1.5,0.1,8
0.3199999999999994,0.22135943621178655,1.0,0.3333333333333333,0.30124999999999935,0.6666666666666666,3.0,0.7650000000000007,0.5,0.3675000000000004,0.1,1.5,0.1,7
0.3149999999999994,0.22135943621178655,0.5,0.3333333333333333,0.29624999999999935,0.6666666666666666,3.0,0.3675000000000003,1.0,0.7550000000000008,0.1,1.5,0.1,6
0.3099999999999994,0.22135943621178655,0.5,0.3333333333333333,0.29124999999999934,0.6666666666666666,3.0,0.37250000000000033,1.0,0.7150000000000007,0.1,1.5,0.1,5
0.3049999999999994,0.22135943621178655,0.5,0.3333333333333333,0.28624999999999934,0.6666666666666666,3.0,0.37750000000000034,1.0,0.6750000000000007,0.1,1.5,0.1,4
0.2999999999999994,0.22135943621178655,0.5,0.3333333333333333,0.28124999999999933,0.6666666666666666,3.0,0.38250000000000034,1.0,0.6350000000000008,0.1,1.5,0.1,3
0.2949999999999994,0.22135943621178655,0.5,0.3333333333333333,0.27624999999999933,0.6666666666666666,3.0,0.38750000000000034,1.0,0.6030000000000008,0.1,1.5,0.1,2
0.28999999999999937,0.22135943621178655,0.5,0.3333333333333333,0.2712499999999993,0.6666666666666666,3.0,0.39250000000000035,1.0,0.5763333333333341,0.1,1.5,0.1,1
0.28499999999999936,0.22135943621178655,1.0,0.3333333333333333,0.2662499999999993,0.6666666666666666,3.0,0.7550000000000007,1.0,0.5496666666666674,0.1,1.5,0.1,0
0.27999999999999936,0.22135943621178655,1.0,0.3333333333333333,0.2612499999999993,0.6666666666666666,3.0,0.7625000000000006,1.0,0.5230000000000008,0.1,1.5,0.1,0
0.3399999999999994,0.2,1.0,0.3333333333333333,0.3291666666666661,0.75,6.0,0.6975000000000007,0.0,0.0,0.15,1.0,0.05,22
0.3349999999999994,0.2,1.0,0.3333333333333333,0.3289999999999994,0.625,5.0,0.7075000000000007,0.0,0.0,0.1,0.5,0.0,21
0.3299999999999994,0.2,1.0,0.3333333333333333,0.3239999999999994,0.625,5.0,0.7175000000000007,0.0,0.0,0.1,0.5,0.0,20
0.3249999999999994,0.2,1.0,0.3333333333333333,0.3189999999999994,0.625,5.0,0.7275000000000007,0.0,0.0,0.1,1.0,0.0,19
0.3199999999999994,0.2,1.0,0.3333333333333333,0.31399999999999945,0.625,5.0,0.7375000000000007,0.0,0.0,0.1,1.0,0.0,18
0.3149999999999994,0.2,1.0,0.3333333333333333,0.3089999999999994,0.625,5.0,0.7475000000000007,0.0,0.0,0.1,2.5,0.1,17
0.3099999999999994,0.2,1.0,0.3333333333333333,0.3039999999999994,0.625,5.0,0.7575000000000007,0.0,0.0,0.1,2.5,0.1,16
0.3049999999999994,0.2,1.0,0.3333333333333333,0.2989999999999994,0.625,5.0,0.7675000000000007,0.0,0.0,0.1,2.5,0.1,15
0.2999999999999994,0.2,1.0,0.3333333333333333,0.29399999999999943,0.625,5.0,0.7775000000000007,0.0,0.0,0.1,2.5,0.1,14
0.2949999999999994,0.2,1.0,0.3333333333333333,0.28899999999999937,0.625,5.0,0.7875000000000008,0.0,0.0,0.1,2.5,0.1,13
0.28999999999999937,0.2,1.0,0.3333333333333333,0.28399999999999936,0.625,5.0,0.7975000000000008,0.0,0.0,0.1,2.5,0.1,12
0.28499999999999936,0.2,1.0,0.3333333333333333,0.27899999999999936,0.625,5.0,0.7725000000000006,0.5,0.40500000000000036,0.1,2.5,0.1,11
0.27999999999999936,0.2,0.5,0.3333333333333333,0.2739999999999994,0.625,5.0,0.37250000000000033,1.0,0.7965000000000007,0.1,2.5,0.1,10
0.27499999999999936,0.2,0.5,0.3333333333333333,0.2737499999999994,0.5,4.0,0.37750000000000034,1.0,0.769833333333334,0.05,2.0,0.05,9
0.26999999999999935,0.2,0.5,0.3333333333333333,0.2687499999999994,0.5,4.0,0.38250000000000034,1.0,0.7431666666666674,0.05,2.0,0.05,8
0.26499999999999935,0.2,0.5,0.3333333333333333,0.2637499999999994,0.5,4.0,0.38750000000000034,1.0,0.7165000000000008,0.05,2.0,0.05,7
0.25999999999999934,0.2,0.5,0.3333333333333333,0.25874999999999937,0.5,4.0,0.39250000000000035,1.0,0.689833333333334,0.05,2.0,0.05,6
0.25499999999999934,0.2,0.5,0.3333333333333333,0.25374999999999936,0.5,4.0,0.39750000000000035,1.0,0.6631666666666673,0.05,2.0,0.05,5
0.24999999999999933,0.2,0.5,0.3333333333333333,0.24874999999999933,0.5,4.0,0.40250000000000036,1.0,0.6365000000000007,0.05,2.0,0.05,4
0.24499999999999933,0.2,0.5,0.3333333333333333,0.24374999999999933,0.5,4.0,0.40750000000000036,1.0,0.6098333333333341,0.05,2.0,0.05,3
0.23999999999999932,0.2,0.5,0.3333333333333333,0.23874999999999932,0.5,4.0,0.41250000000000037,1.0,0.5831666666666673,0.05,2.0,0.05,2
0.23499999999999932,0.2,0.5,0.3333333333333333,0.23374999999999932,0.5,4.0,0.41750000000000037,1.0,0.5565000000000007,0.05,2.0,0.05,1
0.22999999999999932,0.2,1.0,0.3333333333333333,0.22874999999999931,0.5,4.0,0.8075000000000008,1.0,0.529833333333334,0.05,2.0,0.05,0
0.2249999999999993,0.2,1.0,0.3333333333333333,0.2237499999999993,0.5,4.0,0.8125000000000007,1.0,0.5031666666666674,0.05,2.0,0.05,0
0.4499999999999995,0.3605551275463989,0.5,0.3333333333333333,0.49099999999999955,0.5,4.0,0.27500000000000024,0.0,0.0,0.05,0.5,0.0,0
0.4449999999999995,0.3605551275463989,0.5,0.3333333333333333,0.4859999999999996,0.5,4.0,0.27750000000000025,0.0,0.0,0.05,0.5,0.0,0
0.4099999999999995,0.29832867780352595,1.0,0.3333333333333333,0.4662499999999995,0.4,3.0,0.6025000000000005,0.0,0.0,0.0,0.5,0.0,0
0.40499999999999947,0.29832867780352595,1.0,0.3333333333333333,0.4612499999999995,0.4,3.0,0.6100000000000005,0.0,0.0,0.0,0.5,0.0,0
0.4199999999999995,0.3114482300479487,0.5,0.3333333333333333,0.4612499999999995,0.4,4.0,0.29000000000000026,0.0,0.0,0.05,0.5,0.0,0
0.4149999999999995,0.3114482300479487,0.5,0.3333333333333333,0.4749999999999995,0.3,4.0,0.29250000000000026,0.0,0.0,0.05,0.5,0.0,0
0.37999999999999945,0.2607680962081059,1.0,0.3333333333333333,0.48499999999999954,0.2,3.0,0.6225000000000005,0.0,0.0,0.0,0.5,0.0,0
0.37499999999999944,0.2607680962081059,1.0,0.3333333333333333,0.47999999999999954,0.2,3.0,0.6300000000000006,0.0,0.0,0.0,0.5,0.0,0
0.3099999999999994,0.16124515496597097,0.5,0.3333333333333333,0.4674999999999996,0.5,4.0,0.3450000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3049999999999994,0.16124515496597097,0.5,0.3333333333333333,0.4624999999999995,0.5,4.0,0.3475000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3099999999999994,0.16124515496597097,0.0,0.3333333333333333,0.39999999999999947,0.375,3.0,0.0,0.5,0.23150000000000026,0.0,0.5,0.0,1
0.3049999999999994,0.16124515496597097,0.5,0.3333333333333333,0.3949999999999994,0.375,3.0,0.3475000000000003,0.5,0.21550000000000025,0.0,0.5,0.0,0
0.2999999999999994,0.16124515496597097,0.5,0.3333333333333333,0.38999999999999946,0.375,3.0,0.3500000000000003,0.5,0.19550000000000023,0.0,0.5,0.0,0
0.3499999999999994,0.21213203435596426,0.5,0.3333333333333333,0.7899999999999998,0.4,4.0,0.3250000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3449999999999994,0.21213203435596426,0.5,0.3333333333333333,0.7812499999999998,0.4,3.0,0.3275000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3099999999999994,0.16124515496597097,0.5,0.3333333333333333,0.31166666666666604,0.5,5.0,0.3450000000000003,0.0,0.0,0.05,0.5,0.0,0
0.3049999999999994,0.16124515496597097,0.5,0.3333333333333333,0.30666666666666603,0.5,4.0,0.3475000000000003,0.0,0.0,0.05,0.5,0.0,0
0.28999999999999937,0.13038404810405296,0.0,0.3333333333333333,0.5849999999999996,0.5,4.0,0.0,0.5,0.1900000000000004,0.0,0.5,0.0,1
0.28499999999999936,0.13038404810405296,0.5,0.3333333333333333,0.5787499999999997,0.5,4.0,0.3575000000000003,0.5,0.17000000000000037,0.0,0.5,0.0,0
0.27999999999999936,0.13038404810405296,0.5,0.3333333333333333,0.5724999999999996,0.5,4.0,0.3600000000000003,0.5,0.15000000000000036,0.0,0.5,0.0,0
0.27999999999999936,0.11401754250991379,1.0,0.3333333333333333,0.29249999999999937,0.3333333333333333,3.0,0.7225000000000006,0.0,0.0,0.0,0.5,0.0,0
0.3049999999999994,0.15231546211727814,1.0,0.3333333333333333,0.29249999999999937,0.3333333333333333,2.0,0.7450000000000007,0.0,0.0,0.0,0.5,0.0,0
0.27499999999999936,0.11401754250991379,1.0,0.3333333333333333,0.28749999999999937,0.3333333333333333,3.0,0.7300000000000006,0.0,0.0,0.0,0.5,0.0,0
0.2999999999999994,0.15231546211727814,1.0,0.3333333333333333,0.28749999999999937,0.3333333333333333,2.0,0.7525000000000006,0.0,0.0,0.0,0.5,0.0,0
0.28999999999999937,0.13038404810405296,0.0,0.3333333333333333,0.6033333333333329,0.375,4.0,0.0,0.5,0.41000000000000036,0.0,0.5,0.0,14
0.28499999999999936,0.13038404810405296,0.0,0.3333333333333333,0.5966666666666663,0.375,4.0,0.0,0.5,0.39000000000000035,0.0,0.5,0.0,13
0.27999999999999936,0.13038404810405296,0.0,0.3333333333333333,0.5916666666666663,0.375,4.0,0.0,0.5,0.37000000000000033,0.0,0.5,0.0,12
0.27499999999999936,0.13038404810405296,0.0,0.3333333333333333,0.5866666666666663,0.375,4.0,0.0,0.5,0.35400000000000037,0.0,0.5,0.0,11
0.26999999999999935,0.13038404810405296,0.0,0.3333333333333333,0.5816666666666662,0.375,4.0,0.0,0.5,0.33800000000000036,0.0,0.5,0.0,10
0.26499999999999935,0.13038404810405296,0.0,0.3333333333333333,0.5766666666666663,0.375,3.0,0.0,0.5,0.32200000000000034,0.0,0.5,0.0,9
0.25999999999999934,0.13038404810405296,0.0,0.3333333333333333,0.5716666666666663,0.375,3.0,0.0,0.5,0.3060000000000003,0.0,0.5,0.0,8
0.25499999999999934,0.13038404810405296,0.0,0.3333333333333333,0.5666666666666663,0.375,3.0,0.0,0.5,0.2900000000000003,0.0,0.5,0.0,7
0.24999999999999933,0.13038404810405296,0.0,0.3333333333333333,0.5616666666666662,0.375,3.0,0.0,0.5,0.2740000000000003,0.0,0.5,0.0,6
0.24499999999999933,0.13038404810405296,0.0,0.3333333333333333,0.5566666666666663,0.375,3.0,0.0,0.5,0.2580000000000003,0.0,0.5,0.0,5
0.23999999999999932,0.13038404810405296,0.0,0.3333333333333333,0.5516666666666663,0.375,3.0,0.0,0.5,0.24200000000000027,0.0,0.5,0.0,4
0.23499999999999932,0.13038404810405296,0.0,0.3333333333333333,0.5466666666666663,0.375,3.0,0.0,0.5,0.22600000000000026,0.0,0.5,0.0,3
0.22999999999999932,0.13038404810405296,0.0,0.3333333333333333,0.5416666666666662,0.375,3.0,0.0,0.5,0.21000000000000024,0.0,0.5,0.0,2
0.2249999999999993,0.13038404810405296,0.0,0.3333333333333333,0.5366666666666663,0.375,3.0,0.0,0.5,0.19400000000000023,0.0,0.5,0.0,1
0.2199999999999993,0.13038404810405296,0.5,0.3333333333333333,0.5316666666666663,0.375,3.0,0.39000000000000035,0.5,0.1780000000000002,0.0,0.5,0.0,0
0.2149999999999993,0.13038404810405296,0.5,0.3333333333333333,0.5266666666666663,0.375,3.0,0.39250000000000035,0.5,0.1620000000000002,0.0,0.5,0.0,0
0.4499999999999995,0.3605551275463989,0.5,0.3333333333333333,0.5587499999999996,0.4,3.0,0.27500000000000024,0.0,0.0,0.0,0.5,0.0,0
0.4449999999999995,0.3605551275463989,0.5,0.3333333333333333,0.6409999999999997,0.5,3.0,0.27750000000000025,0.0,0.0,0.0,0.5,0.0,0
0.4099999999999995,0.29832867780352595,1.0,0.3333333333333333,0.5962499999999996,0.4,3.0,0.6475000000000006,0.0,0.0,0.0,0.5,0.0,0
0.40499999999999947,0.29832867780352595,1.0,0.3333333333333333,0.5899999999999996,0.4,3.0,0.6550000000000006,0.0,0.0,0.0,0.5,0.0,0
0.3549999999999994,0.22135943621178655,0.5,0.3333333333333333,0.5637499999999996,0.5,4.0,0.3225000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3499999999999994,0.22135943621178655,0.5,0.3333333333333333,0.5587499999999996,0.5,4.0,0.3250000000000003,0.0,0.0,0.0,0.5,0.0,0
0.37999999999999945,0.2607680962081059,0.5,0.3333333333333333,0.583333333333333,0.3,5.0,0.3100000000000003,0.0,0.0,0.0,0.5,0.0,0
0.37499999999999944,0.2607680962081059,0.5,0.3333333333333333,0.5783333333333329,0.3,5.0,0.3125000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3099999999999994,0.16124515496597097,0.5,0.3333333333333333,0.4633333333333329,0.375,3.0,0.3450000000000003,0.5,0.06500000000000022,0.0,0.5,0.0,0
0.3049999999999994,0.16124515496597097,0.5,0.3333333333333333,0.45833333333333287,0.375,3.0,0.3475000000000003,0.5,0.045000000000000207,0.0,0.5,0.0,0
0.27999999999999936,0.11401754250991379,0.5,0.3333333333333333,0.37166666666666615,0.5,4.0,0.3600000000000003,0.0,0.0,0.0,0.5,0.0,0
0.27499999999999936,0.11401754250991379,0.5,0.3333333333333333,0.3666666666666661,0.5,4.0,0.3625000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3199999999999994,0.17029386365926402,0.5,0.3333333333333333,0.5362499999999996,0.4,4.0,0.3400000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3149999999999994,0.17029386365926402,0.5,0.3333333333333333,0.5312499999999996,0.4,4.0,0.3425000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3049999999999994,0.15231546211727814,1.0,0.3333333333333333,0.5316666666666663,0.5,3.0,0.7050000000000006,0.0,0.0,0.0,0.5,0.0,0
0.2999999999999994,0.15231546211727814,1.0,0.3333333333333333,0.5249999999999996,0.5,3.0,0.7125000000000006,0.0,0.0,0.0,0.5,0.0,0
0.28999999999999937,0.13038404810405296,0.5,0.3333333333333333,0.5199999999999996,0.5,4.0,0.3550000000000003,0.0,0.0,0.0,0.5,0.0,0
0.28499999999999936,0.13038404810405296,0.5,0.3333333333333333,0.5149999999999996,0.5,4.0,0.3575000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3499999999999994,0.21213203435596426,1.0,0.3333333333333333,0.538333333333333,0.3,2.0,0.7200000000000006,0.5,0.40750000000000036,0.05,0.5,0.0,0
0.3449999999999994,0.21213203435596426,1.0,0.3333333333333333,0.5333333333333329,0.3,2.0,0.7275000000000007,0.5,0.38750000000000034,0.05,1.0,0.05,0
0.28999999999999937,0.13038404810405296,1.0,0.3333333333333333,0.5466666666666663,0.375,3.0,0.7575000000000007,0.0,0.0,0.0,0.5,0.0,0
0.28499999999999936,0.13038404810405296,0.5,0.3333333333333333,0.5416666666666662,0.375,3.0,0.3575000000000003,0.5,0.40750000000000036,0.0,0.5,0.0,0
0.4499999999999995,0.3605551275463989,0.5,0.3333333333333333,0.42187499999999944,0.8,6.0,0.27500000000000024,0.0,0.0,0.2,0.5,0.0,0
0.4099999999999995,0.29832867780352595,1.0,0.3333333333333333,0.4168749999999995,0.8,6.0,0.5725000000000005,0.0,0.0,0.1,1.0,0.0,0
0.4449999999999995,0.3605551275463989,1.0,0.3333333333333333,0.4168749999999995,0.8,6.0,0.5725000000000005,0.0,0.0,0.2,1.0,0.05,0
0.4199999999999995,0.3114482300479487,0.5,0.3333333333333333,0.4168749999999995,0.8,7.0,0.29000000000000026,0.0,0.0,0.1,0.5,0.0,0
0.40499999999999947,0.29832867780352595,1.0,0.3333333333333333,0.4078571428571424,0.7,5.0,0.5800000000000005,0.0,0.0,0.1,0.5,0.0,0
0.37999999999999945,0.2607680962081059,1.0,0.3333333333333333,0.4078571428571424,0.7,7.0,0.6025000000000005,0.0,0.0,0.0,1.0,0.0,0
0.4149999999999995,0.3114482300479487,1.0,0.3333333333333333,0.4078571428571424,0.7,7.0,0.6025000000000005,0.0,0.0,0.1,1.0,0.05,0
0.37499999999999944,0.2607680962081059,1.0,0.3333333333333333,0.4019999999999995,0.5,6.0,0.6100000000000005,0.0,0.0,0.0,0.5,0.0,0
0.3549999999999994,0.22135943621178655,0.5,0.3333333333333333,0.358571428571428,0.875,7.0,0.3225000000000003,0.0,0.0,0.15,0.5,0.0,0
0.3499999999999994,0.22135943621178655,0.5,0.3333333333333333,0.3535714285714279,0.875,7.0,0.3250000000000003,0.0,0.0,0.15,0.5,0.0,0
0.3099999999999994,0.16124515496597097,1.0,0.3333333333333333,0.33416666666666606,0.75,6.0,0.6900000000000006,0.0,0.0,0.0,0.5,0.0,0
0.3049999999999994,0.16124515496597097,1.0,0.3333333333333333,0.3291666666666661,0.75,6.0,0.6975000000000007,0.0,0.0,0.0,1.0,0.0,0
0.3199999999999994,0.17029386365926402,1.0,0.3333333333333333,0.3187499999999994,0.4,5.0,0.7900000000000007,0.0,0.0,0.05,2.0,0.05,1
0.3149999999999994,0.17029386365926402,1.0,0.3333333333333333,0.3137499999999994,0.4,5.0,0.7350000000000007,0.5,0.40750000000000036,0.05,2.0,0.05,0
0.3099999999999994,0.17029386365926402,1.0,0.3333333333333333,0.3087499999999994,0.4,5.0,0.7425000000000006,0.5,0.38750000000000034,0.05,2.0,0.05,0
0.3099999999999994,0.16124515496597097,1.0,0.3333333333333333,0.3269999999999994,0.8333333333333334,4.0,0.7600000000000007,0.0,0.0,0.0,1.5,0.0,4
0.3049999999999994,0.16124515496597097,1.0,0.3333333333333333,0.32199999999999934,0.8333333333333334,4.0,0.7700000000000007,0.0,0.0,0.0,1.5,0.0,3
0.2999999999999994,0.16124515496597097,1.0,0.3333333333333333,0.3169999999999994,0.8333333333333334,4.0,0.7800000000000007,0.0,0.0,0.0,1.5,0.0,2
0.2949999999999994,0.16124515496597097,1.0,0.3333333333333333,0.3119999999999994,0.8333333333333334,4.0,0.7900000000000007,0.0,0.0,0.0,1.5,0.0,1
0.28999999999999937,0.16124515496597097,1.0,0.3333333333333333,0.3069999999999994,0.8333333333333334,4.0,0.7475000000000007,0.5,0.40750000000000036,0.0,1.5,0.0,0
0.28499999999999936,0.16124515496597097,1.0,0.3333333333333333,0.3019999999999993,0.8333333333333334,4.0,0.7550000000000007,0.5,0.38750000000000034,0.0,1.5,0.0,0
0.38999999999999946,0.27202941017470883,1.0,0.3333333333333333,0.3737499999999994,0.4,5.0,0.6800000000000006,0.0,0.0,0.2,0.5,0.0,17
0.38499999999999945,0.27202941017470883,1.0,0.3333333333333333,0.36874999999999947,0.4,5.0,0.6900000000000006,0.0,0.0,0.2,1.0,0.05,16
0.37999999999999945,0.27202941017470883,1.0,0.3333333333333333,0.36374999999999946,0.4,5.0,0.7000000000000006,0.0,0.0,0.2,1.0,0.05,15
0.37499999999999944,0.27202941017470883,1.0,0.3333333333333333,0.35874999999999946,0.4,5.0,0.7100000000000006,0.0,0.0,0.2,1.0,0.05,14
0.36999999999999944,0.27202941017470883,1.0,0.3333333333333333,0.3537499999999994,0.4,5.0,0.7200000000000006,0.0,0.0,0.2,1.0,0.05,13
