battery,charger_distance,accepted_drones_count,charger_capacity,neighbor_drones_average_battery,neighbor_drones,potential_drones,accepted_drones_missing_battery,charging_drones_count,charging_drones_missing_battery,potential_drones_with_lower_battery,waiting_drones_count,waiting_drones_with_lower_battery,time
0.4199999999999995,0.3114482300479487,0.5,0.3333333333333333,0.5919999999999996,0.5,5.0,0.29000000000000026,0.0,0.0,0.0,0.5,0.0,0
0.4149999999999995,0.29832867780352595,1.0,0.3333333333333333,0.6149999999999997,0.4,4.0,0.6500000000000006,0.0,0.0,0.0,0.5,0.0,0
0.4099999999999995,0.29832867780352595,1.0,0.3333333333333333,0.6099999999999997,0.4,4.0,0.6575000000000006,0.0,0.0,0.0,0.5,0.0,0
0.3149999999999994,0.15231546211727814,0.5,0.3333333333333333,0.4549999999999995,0.6666666666666666,4.0,0.3425000000000003,0.5,0.12500000000000028,0.0,0.5,0.0,0
0.3099999999999994,0.15231546211727814,0.5,0.3333333333333333,0.4499999999999995,0.6666666666666666,4.0,0.3450000000000003,0.5,0.10500000000000026,0.0,0.5,0.0,0
0.3199999999999994,0.16124515496597097,0.5,0.3333333333333333,0.43499999999999944,0.625,5.0,0.3400000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3149999999999994,0.16124515496597097,0.5,0.3333333333333333,0.42999999999999944,0.625,5.0,0.3425000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3199999999999994,0.16124515496597097,0.5,0.3333333333333333,0.42666666666666614,0.5,5.0,0.3400000000000003,0.0,0.0,0.0,0.5,0.0,0
0.3149999999999994,0.16124515496597097,0.5,0.3333333333333333,0.42166666666666613,0.5,5.0,0.3425000000000003,0.0,0.0,0.0,0.5,0.0,0
0.38999999999999946,0.2607680962081059,0.5,0.3333333333333333,0.6249999999999997,0.6,4.0,0.30500000000000027,0.5,0.20000000000000034,0.05,0.5,0.0,0
0.38499999999999945,0.2607680962081059,0.5,0.3333333333333333,0.6174999999999996,0.6,4.0,0.3075000000000003,0.5,0.18000000000000033,0.05,0.5,0.0,0
0.2999999999999994,0.13038404810405296,0.0,0.3333333333333333,0.3987499999999995,0.5,4.0,0.0,0.5,0.40250000000000036,0.0,0.5,0.0,11
0.2949999999999994,0.13038404810405296,0.0,0.3333333333333333,0.3937499999999995,0.5,4.0,0.0,0.5,0.38250000000000034,0.0,0.5,0.0,10
0.28999999999999937,0.13038404810405296,0.0,0.3333333333333333,0.3887499999999995,0.5,4.0,0.0,0.5,0.3625000000000004,0.0,0.5,0.0,9
0.28499999999999936,0.13038404810405296,0.0,0.3333333333333333,0.3837499999999994,0.5,4.0,0.0,0.5,0.34250000000000036,0.0,0.5,0.0,8
0.27999999999999936,0.13038404810405296,0.0,0.3333333333333333,0.3787499999999995,0.5,4.0,0.0,0.5,0.32250000000000034,0.0,0.5,0.0,7
0.27499999999999936,0.13038404810405296,0.0,0.3333333333333333,0.37374999999999947,0.5,4.0,0.0,0.5,0.3025000000000004,0.0,0.5,0.0,6
0.26999999999999935,0.13038404810405296,0.0,0.3333333333333333,0.36874999999999947,0.5,4.0,0.0,0.5,0.2825000000000004,0.0,0.5,0.0,5
0.26499999999999935,0.13038404810405296,0.0,0.3333333333333333,0.3637499999999994,0.5,4.0,0.0,0.5,0.2625000000000004,0.0,0.5,0.0,4
0.25999999999999934,0.13038404810405296,0.0,0.3333333333333333,0.35874999999999946,0.5,4.0,0.0,0.5,0.24250000000000038,0.0,0.5,0.0,3
0.25499999999999934,0.13038404810405296,0.0,0.3333333333333333,0.35374999999999945,0.5,4.0,0.0,0.5,0.22250000000000036,0.0,0.5,0.0,2
0.24999999999999933,0.13038404810405296,0.0,0.3333333333333333,0.34874999999999945,0.5,4.0,0.0,0.5,0.20250000000000035,0.0,0.5,0.0,1
0.24499999999999933,0.13038404810405296,0.5,0.3333333333333333,0.34374999999999944,0.5,4.0,0.37750000000000034,0.5,0.18250000000000033,0.0,0.5,0.0,0
0.23999999999999932,0.13038404810405296,0.5,0.3333333333333333,0.33874999999999944,0.5,4.0,0.38000000000000034,0.5,0.1625000000000003,0.0,0.5,0.0,0
0.3249999999999994,0.17029386365926402,1.0,0.3333333333333333,0.6349999999999997,0.5,3.0,0.6650000000000006,0.5,0.10000000000000026,0.0,0.5,0.0,0
0.3199999999999994,0.17029386365926402,1.0,0.3333333333333333,0.6279999999999996,0.5,3.0,0.6725000000000005,0.5,0.08000000000000024,0.0,0.5,0.0,0
0.2999999999999994,0.1341640786499874,1.0,0.3333333333333333,0.3566666666666661,0.375,3.0,0.7450000000000007,0.5,0.10250000000000026,0.0,0.5,0.0,0
0.2949999999999994,0.1341640786499874,1.0,0.3333333333333333,0.35166666666666613,0.375,3.0,0.7525000000000006,0.5,0.08250000000000024,0.0,0.5,0.0,0
0.3499999999999994,0.2,1.0,0.3333333333333333,0.37499999999999944,0.25,2.0,0.7625000000000006,0.5,0.06250000000000022,0.0,0.5,0.0,5
0.3449999999999994,0.2,1.0,0.3333333333333333,0.36999999999999944,0.25,2.0,0.7725000000000006,0.5,0.042500000000000204,0.0,0.5,0.0,4
0.3399999999999994,0.2,1.0,0.3333333333333333,0.36499999999999944,0.25,2.0,0.7825000000000006,0.5,0.022500000000000187,0.0,0.5,0.0,3
0.3349999999999994,0.2,1.0,0.3333333333333333,0.5699999999999996,0.375,2.0,0.7925000000000006,0.5,0.0025000000000001688,0.0,0.5,0.0,2
0.3299999999999994,0.2,1.0,0.3333333333333333,0.5633333333333329,0.375,2.0,0.8025000000000007,0.0,0.0,0.0,0.5,0.0,1
0.3249999999999994,0.2,1.0,0.3333333333333333,0.5566666666666663,0.375,3.0,0.7200000000000006,0.5,0.4300000000000004,0.0,0.5,0.0,0
0.3199999999999994,0.2,1.0,0.3333333333333333,0.5499999999999996,0.375,3.0,0.7275000000000007,0.5,0.41000000000000036,0.0,0.5,0.0,0
0.3199999999999994,0.16124515496597097,0.5,0.3333333333333333,0.5666666666666663,0.5,4.0,0.3400000000000003,0.5,0.18250000000000033,0.0,0.5,0.0,0
0.3149999999999994,0.16124515496597097,0.5,0.3333333333333333,0.5599999999999996,0.5,5.0,0.3425000000000003,0.5,0.1625000000000003,0.0,0.5,0.0,0
0.3549999999999994,0.21213203435596426,0.5,0.3333333333333333,0.5974999999999997,0.4,2.0,0.3225000000000003,1.0,0.5875000000000008,0.0,0.5,0.0,0
0.3549999999999994,0.21213203435596426,1.0,0.3333333333333333,0.6224999999999996,0.3333333333333333,5.0,0.7050000000000006,0.5,0.0025000000000001688,0.0,0.5,0.0,0
0.3499999999999994,0.21213203435596426,0.5,0.3333333333333333,0.5924999999999997,0.4,2.0,0.3250000000000003,1.0,0.5475000000000008,0.0,0.5,0.0,0
0.3499999999999994,0.21213203435596426,1.0,0.3333333333333333,0.6149999999999997,0.3333333333333333,5.0,0.7125000000000006,0.0,0.0,0.0,0.5,0.0,0
0.3299999999999994,0.17029386365926402,0.5,0.3333333333333333,0.6049999999999996,0.25,1.0,0.38000000000000034,1.0,0.5525000000000009,0.0,0.5,0.0,4
0.3249999999999994,0.17029386365926402,0.5,0.3333333333333333,0.5974999999999997,0.25,1.0,0.38500000000000034,1.0,0.5125000000000008,0.0,0.5,0.0,3
0.3199999999999994,0.17029386365926402,0.5,0.3333333333333333,0.5899999999999996,0.25,1.0,0.39000000000000035,1.0,0.4725000000000008,0.0,0.5,0.0,2
0.3149999999999994,0.17029386365926402,0.5,0.3333333333333333,0.5824999999999996,0.25,1.0,0.39500000000000035,1.0,0.4325000000000008,0.0,0.5,0.0,1
0.3099999999999994,0.17029386365926402,1.0,0.3333333333333333,0.5749999999999996,0.25,2.0,0.7450000000000007,1.0,0.39250000000000074,0.0,0.5,0.0,0
0.3049999999999994,0.17029386365926402,1.0,0.3333333333333333,0.5674999999999997,0.25,2.0,0.7525000000000006,1.0,0.3525000000000007,0.0,0.5,0.0,0
0.4649999999999995,0.3605551275463989,0.5,0.3333333333333333,0.4368749999999995,0.8,6.0,0.26750000000000024,0.0,0.0,0.2,0.5,0.0,0
0.4599999999999995,0.3605551275463989,0.5,0.3333333333333333,0.4318749999999995,0.8,6.0,0.27000000000000024,0.0,0.0,0.2,0.5,0.0,0
0.4199999999999995,0.29832867780352595,1.0,0.3333333333333333,0.4228571428571423,0.7,5.0,0.5650000000000005,0.0,0.0,0.1,0.5,0.0,0
0.39499999999999946,0.2607680962081059,1.0,0.3333333333333333,0.4228571428571423,0.7,7.0,0.5875000000000006,0.0,0.0,0.0,1.0,0.0,0
0.4299999999999995,0.3114482300479487,1.0,0.3333333333333333,0.4228571428571423,0.7,7.0,0.5875000000000006,0.0,0.0,0.1,1.0,0.05,0
0.4149999999999995,0.29832867780352595,1.0,0.3333333333333333,0.4178571428571423,0.7,5.0,0.5725000000000005,0.0,0.0,0.1,0.5,0.0,0
0.38999999999999946,0.2607680962081059,1.0,0.3333333333333333,0.4178571428571423,0.7,7.0,0.5925000000000005,0.0,0.0,0.0,1.0,0.0,0
0.4249999999999995,0.3114482300479487,1.0,0.3333333333333333,0.4178571428571423,0.7,7.0,0.5925000000000005,0.0,0.0,0.1,1.0,0.05,0
0.36499999999999944,0.22135943621178655,0.5,0.3333333333333333,0.368571428571428,0.875,7.0,0.3175000000000003,0.0,0.0,0.15,0.5,0.0,0
0.35999999999999943,0.22135943621178655,0.5,0.3333333333333333,0.36357142857142805,0.875,7.0,0.3200000000000003,0.0,0.0,0.15,0.5,0.0,0
0.3199999999999994,0.16124515496597097,1.0,0.3333333333333333,0.3441666666666661,0.75,6.0,0.6800000000000006,0.0,0.0,0.0,0.5,0.0,0
0.3149999999999994,0.16124515496597097,1.0,0.3333333333333333,0.3391666666666661,0.75,6.0,0.6875000000000007,0.0,0.0,0.0,1.0,0.0,0
0.3349999999999994,0.17888543819998318,1.0,0.3333333333333333,0.33374999999999944,0.4,5.0,0.7725000000000006,0.0,0.0,0.05,1.5,0.05,1
0.3299999999999994,0.17888543819998318,1.0,0.3333333333333333,0.32874999999999943,0.4,5.0,0.7175000000000007,0.5,0.40000000000000036,0.05,1.5,0.05,0
0.3249999999999994,0.17888543819998318,1.0,0.3333333333333333,0.3237499999999994,0.4,5.0,0.7250000000000006,0.5,0.38000000000000034,0.05,2.0,0.05,0
0.3199999999999994,0.16124515496597097,1.0,0.3333333333333333,0.3369999999999994,0.8333333333333334,4.0,0.7525000000000006,0.0,0.0,0.0,1.5,0.0,4
0.3149999999999994,0.16124515496597097,1.0,0.3333333333333333,0.3319999999999994,0.8333333333333334,4.0,0.7625000000000006,0.0,0.0,0.0,1.5,0.0,3
0.3099999999999994,0.16124515496597097,1.0,0.3333333333333333,0.3269999999999994,0.8333333333333334,4.0,0.7725000000000006,0.0,0.0,0.0,1.5,0.0,2
0.3049999999999994,0.16124515496597097,1.0,0.3333333333333333,0.32199999999999934,0.8333333333333334,4.0,0.7825000000000006,0.0,0.0,0.0,1.5,0.0,1
0.2999999999999994,0.16124515496597097,1.0,0.3333333333333333,0.3169999999999994,0.8333333333333334,4.0,0.7400000000000007,0.5,0.40250000000000036,0.0,1.5,0.0,0
0.2949999999999994,0.16124515496597097,1.0,0.3333333333333333,0.3119999999999994,0.8333333333333334,4.0,0.7475000000000007,0.5,0.38250000000000034,0.0,1.5,0.0,0
0.39999999999999947,0.27202941017470883,1.0,0.3333333333333333,0.3837499999999995,0.4,5.0,0.6725000000000005,0.0,0.0,0.2,0.5,0.0,16
0.39499999999999946,0.27202941017470883,1.0,0.3333333333333333,0.3787499999999995,0.4,5.0,0.6825000000000006,0.0,0.0,0.2,0.5,0.0,15
0.38999999999999946,0.27202941017470883,1.0,0.3333333333333333,0.3737499999999994,0.4,5.0,0.6925000000000006,0.0,0.0,0.2,1.0,0.05,14
0.38499999999999945,0.27202941017470883,1.0,0.3333333333333333,0.36874999999999947,0.4,5.0,0.7025000000000006,0.0,0.0,0.2,1.0,0.05,13
0.37999999999999945,0.27202941017470883,1.0,0.3333333333333333,0.36374999999999946,0.4,5.0,0.7125000000000006,0.0,0.0,0.2,1.0,0.05,12
0.37499999999999944,0.27202941017470883,1.0,0.3333333333333333,0.35874999999999946,0.4,5.0,0.7225000000000006,0.0,0.0,0.2,1.0,0.05,11
0.36999999999999944,0.27202941017470883,1.0,0.3333333333333333,0.3537499999999994,0.4,5.0,0.7325000000000006,0.0,0.0,0.2,1.0,0.05,10
0.36499999999999944,0.27202941017470883,1.0,0.3333333333333333,0.34874999999999945,0.4,5.0,0.7425000000000006,0.0,0.0,0.2,1.0,0.05,9
0.35999999999999943,0.27202941017470883,1.0,0.3333333333333333,0.34374999999999944,0.4,5.0,0.7525000000000006,0.0,0.0,0.2,1.0,0.05,8
0.3549999999999994,0.27202941017470883,1.0,0.3333333333333333,0.33874999999999944,0.4,5.0,0.7625000000000006,0.0,0.0,0.2,1.0,0.05,7
0.3499999999999994,0.27202941017470883,1.0,0.3333333333333333,0.33374999999999944,0.4,5.0,0.7725000000000006,0.0,0.0,0.2,1.5,0.1,6
0.3449999999999994,0.27202941017470883,1.0,0.3333333333333333,0.32874999999999943,0.4,5.0,0.7175000000000007,0.5,0.40000000000000036,0.2,1.5,0.1,5
0.3399999999999994,0.27202941017470883,1.0,0.3333333333333333,0.3237499999999994,0.4,5.0,0.7250000000000006,0.5,0.38000000000000034,0.2,2.0,0.15,4
0.3349999999999994,0.27202941017470883,1.0,0.3333333333333333,0.31833333333333275,0.3,4.0,0.7350000000000007,0.5,0.3600000000000003,0.15,1.5,0.1,3
0.3299999999999994,0.27202941017470883,1.0,0.3333333333333333,0.31333333333333274,0.3,4.0,0.7450000000000007,0.5,0.34000000000000036,0.15,2.0,0.15,2
0.3249999999999994,0.27202941017470883,0.5,0.3333333333333333,0.30833333333333274,0.3,4.0,0.3525000000000003,1.0,0.7225000000000008,0.15,2.0,0.15,1
0.3199999999999994,0.27202941017470883,1.0,0.3333333333333333,0.30333333333333273,0.3,4.0,0.6975000000000007,1.0,0.6825000000000008,0.15,2.0,0.15,0
0.3149999999999994,0.27202941017470883,1.0,0.3333333333333333,0.29833333333333273,0.3,4.0,0.7050000000000006,1.0,0.6425000000000007,0.15,2.0,0.15,0
0.2999999999999994,0.13038404810405296,1.0,0.3333333333333333,0.3189999999999994,0.625,5.0,0.7375000000000007,0.0,0.0,0.0,2.0,0.0,6
0.2949999999999994,0.13038404810405296,1.0,0.3333333333333333,0.31399999999999945,0.625,5.0,0.7475000000000007,0.0,0.0,0.0,2.5,0.0,5
0.28999999999999937,0.13038404810405296,1.0,0.3333333333333333,0.3089999999999994,0.625,5.0,0.7575000000000007,0.0,0.0,0.0,2.5,0.0,4
0.28499999999999936,0.13038404810405296,1.0,0.3333333333333333,0.3039999999999994,0.625,5.0,0.7675000000000007,0.0,0.0,0.0,2.5,0.0,3
0.27999999999999936,0.13038404810405296,1.0,0.3333333333333333,0.2989999999999994,0.625,5.0,0.7775000000000007,0.0,0.0,0.0,2.5,0.0,2
0.27499999999999936,0.13038404810405296,1.0,0.3333333333333333,0.29399999999999943,0.625,5.0,0.7875000000000008,0.0,0.0,0.0,2.5,0.0,1
0.26999999999999935,0.13038404810405296,1.0,0.3333333333333333,0.28899999999999937,0.625,5.0,0.7625000000000006,0.5,0.40000000000000036,0.0,2.5,0.0,0
0.36499999999999944,0.22135943621178655,1.0,0.3333333333333333,0.34199999999999936,0.8333333333333334,4.0,0.7425000000000006,0.0,0.0,0.15,1.0,0.05,12
0.35999999999999943,0.22135943621178655,1.0,0.3333333333333333,0.3369999999999994,0.8333333333333334,4.0,0.7525000000000006,0.0,0.0,0.15,1.5,0.1,11
0.3549999999999994,0.22135943621178655,1.0,0.3333333333333333,0.3319999999999994,0.8333333333333334,4.0,0.7625000000000006,0.0,0.0,0.15,1.5,0.1,10
0.3499999999999994,0.22135943621178655,1.0,0.3333333333333333,0.3269999999999994,0.8333333333333334,4.0,0.7725000000000006,0.0,0.0,0.15,1.5,0.1,9
0.3449999999999994,0.22135943621178655,1.0,0.3333333333333333,0.32199999999999934,0.8333333333333334,4.0,0.7825000000000006,0.0,0.0,0.15,1.5,0.1,8
0.3399999999999994,0.22135943621178655,1.0,0.3333333333333333,0.3169999999999994,0.8333333333333334,4.0,0.7400000000000007,0.5,0.40250000000000036,0.15,1.5,0.1,7
0.3349999999999994,0.22135943621178655,1.0,0.3333333333333333,0.3119999999999994,0.8333333333333334,4.0,0.7475000000000007,0.5,0.38250000000000034,0.15,1.5,0.1,6
0.3299999999999994,0.22135943621178655,0.5,0.3333333333333333,0.31124999999999936,0.6666666666666666,3.0,0.3575000000000003,1.0,0.7625000000000007,0.1,1.0,0.05,5
0.3249999999999994,0.22135943621178655,0.5,0.3333333333333333,0.30624999999999936,0.6666666666666666,3.0,0.3625000000000003,1.0,0.7225000000000007,0.1,1.5,0.1,4
0.3199999999999994,0.22135943621178655,0.5,0.3333333333333333,0.30124999999999935,0.6666666666666666,3.0,0.3675000000000003,1.0,0.6825000000000007,0.1,1.5,0.1,3
0.3149999999999994,0.22135943621178655,0.5,0.3333333333333333,0.29624999999999935,0.6666666666666666,3.0,0.37250000000000033,1.0,0.6425000000000007,0.1,1.5,0.1,2
0.3099999999999994,0.22135943621178655,0.5,0.3333333333333333,0.29124999999999934,0.6666666666666666,3.0,0.37750000000000034,1.0,0.6025000000000008,0.1,1.5,0.1,1
0.3049999999999994,0.22135943621178655,1.0,0.3333333333333333,0.28624999999999934,0.6666666666666666,3.0,0.7300000000000006,1.0,0.5625000000000008,0.1,1.5,0.1,0
0.26499999999999935,0.13038404810405296,0.5,0.3333333333333333,0.28399999999999936,0.625,5.0,0.3675000000000003,1.0,0.7825000000000006,0.0,2.5,0.0,0
0.2999999999999994,0.22135943621178655,1.0,0.3333333333333333,0.28124999999999933,0.6666666666666666,3.0,0.7375000000000007,1.0,0.5241666666666674,0.1,1.5,0.1,0
0.3499999999999994,0.2,1.0,0.3333333333333333,0.3391666666666661,0.75,6.0,0.6875000000000007,0.0,0.0,0.15,1.0,0.05,19
0.3449999999999994,0.2,1.0,0.3333333333333333,0.3389999999999994,0.625,5.0,0.6975000000000007,0.0,0.0,0.1,0.5,0.0,18
0.3399999999999994,0.2,1.0,0.3333333333333333,0.33399999999999946,0.625,5.0,0.7075000000000007,0.0,0.0,0.1,0.5,0.0,17
0.3349999999999994,0.2,1.0,0.3333333333333333,0.3289999999999994,0.625,5.0,0.7175000000000007,0.0,0.0,0.1,1.0,0.0,16
0.3299999999999994,0.2,1.0,0.3333333333333333,0.3239999999999994,0.625,5.0,0.7275000000000007,0.0,0.0,0.1,1.0,0.0,15
0.3249999999999994,0.2,1.0,0.3333333333333333,0.3189999999999994,0.625,5.0,0.7375000000000007,0.0,0.0,0.1,2.0,0.1,14
0.3199999999999994,0.2,1.0,0.3333333333333333,0.31399999999999945,0.625,5.0,0.7475000000000007,0.0,0.0,0.1,2.5,0.1,13
0.3149999999999994,0.2,1.0,0.3333333333333333,0.3089999999999994,0.625,5.0,0.7575000000000007,0.0,0.0,0.1,2.5,0.1,12
0.3099999999999994,0.2,1.0,0.3333333333333333,0.3039999999999994,0.625,5.0,0.7675000000000007,0.0,0.0,0.1,2.5,0.1,11
0.3049999999999994,0.2,1.0,0.3333333333333333,0.2989999999999994,0.625,5.0,0.7775000000000007,0.0,0.0,0.1,2.5,0.1,10
0.2999999999999994,0.2,1.0,0.3333333333333333,0.29399999999999943,0.625,5.0,0.7875000000000008,0.0,0.0,0.1,2.5,0.1,9
0.2949999999999994,0.2,1.0,0.3333333333333333,0.28899999999999937,0.625,5.0,0.7625000000000006,0.5,0.40000000000000036,0.1,2.5,0.1,8
0.28999999999999937,0.2,0.5,0.3333333333333333,0.28399999999999936,0.625,5.0,0.3675000000000003,1.0,0.7825000000000006,0.1,2.5,0.1,7
0.28499999999999936,0.2,0.5,0.3333333333333333,0.2837499999999994,0.5,4.0,0.37250000000000033,1.0,0.7441666666666673,0.05,2.0,0.05,6
0.27999999999999936,0.2,0.5,0.3333333333333333,0.2787499999999994,0.5,4.0,0.37750000000000034,1.0,0.705833333333334,0.05,2.0,0.05,5
0.27499999999999936,0.2,0.5,0.3333333333333333,0.2737499999999994,0.5,4.0,0.38250000000000034,1.0,0.6675000000000006,0.05,2.0,0.05,4
0.26999999999999935,0.2,0.5,0.3333333333333333,0.2687499999999994,0.5,4.0,0.38750000000000034,1.0,0.6291666666666673,0.05,2.0,0.05,3
0.26499999999999935,0.2,0.5,0.3333333333333333,0.2637499999999994,0.5,4.0,0.39250000000000035,1.0,0.590833333333334,0.05,2.0,0.05,2
0.25999999999999934,0.2,0.5,0.3333333333333333,0.25874999999999937,0.5,4.0,0.39750000000000035,1.0,0.5525000000000007,0.05,2.0,0.05,1
0.25499999999999934,0.2,1.0,0.3333333333333333,0.25374999999999936,0.5,4.0,0.7750000000000007,1.0,0.5141666666666673,0.05,2.0,0.05,0
0.24999999999999933,0.2,1.0,0.3333333333333333,0.24874999999999933,0.5,4.0,0.7825000000000006,1.0,0.47583333333333405,0.05,2.0,0.05,0
0.3549999999999994,0.21213203435596426,1.0,0.3333333333333333,0.3737499999999994,0.4,5.0,0.6925000000000006,0.0,0.0,0.0,1.0,0.0,38
0.3499999999999994,0.21213203435596426,1.0,0.3333333333333333,0.36874999999999947,0.4,5.0,0.7025000000000006,0.0,0.0,0.0,1.0,0.0,37
0.3449999999999994,0.21213203435596426,1.0,0.3333333333333333,0.36374999999999946,0.4,5.0,0.7125000000000006,0.0,0.0,0.0,1.0,0.0,36
0.3399999999999994,0.21213203435596426,1.0,0.3333333333333333,0.35874999999999946,0.4,5.0,0.7225000000000006,0.0,0.0,0.0,1.0,0.0,35
0.3349999999999994,0.21213203435596426,1.0,0.3333333333333333,0.3537499999999994,0.4,5.0,0.7325000000000006,0.0,0.0,0.0,1.0,0.0,34
0.3299999999999994,0.21213203435596426,1.0,0.3333333333333333,0.34874999999999945,0.4,5.0,0.7425000000000006,0.0,0.0,0.0,1.0,0.0,33
0.3249999999999994,0.21213203435596426,1.0,0.3333333333333333,0.34374999999999944,0.4,5.0,0.7525000000000006,0.0,0.0,0.0,1.0,0.0,32
0.3199999999999994,0.21213203435596426,1.0,0.3333333333333333,0.33874999999999944,0.4,5.0,0.7625000000000006,0.0,0.0,0.0,1.0,0.0,31
0.3149999999999994,0.21213203435596426,1.0,0.3333333333333333,0.33374999999999944,0.4,5.0,0.7725000000000006,0.0,0.0,0.0,1.5,0.0,30
0.3099999999999994,0.21213203435596426,1.0,0.3333333333333333,0.32874999999999943,0.4,5.0,0.7175000000000007,0.5,0.40000000000000036,0.0,1.5,0.0,29
0.3049999999999994,0.21213203435596426,1.0,0.3333333333333333,0.3237499999999994,0.4,5.0,0.7250000000000006,0.5,0.38000000000000034,0.0,2.0,0.0,28
0.2999999999999994,0.21213203435596426,1.0,0.3333333333333333,0.31833333333333275,0.3,4.0,0.7350000000000007,0.5,0.3600000000000003,0.0,1.5,0.0,27
0.2949999999999994,0.21213203435596426,1.0,0.3333333333333333,0.31333333333333274,0.3,4.0,0.7450000000000007,0.5,0.34000000000000036,0.0,2.0,0.0,26
0.28999999999999937,0.21213203435596426,0.5,0.3333333333333333,0.30833333333333274,0.3,4.0,0.3525000000000003,1.0,0.7225000000000008,0.0,2.0,0.0,25
0.28499999999999936,0.21213203435596426,1.0,0.3333333333333333,0.30333333333333273,0.3,4.0,0.6975000000000007,1.0,0.6825000000000008,0.0,2.0,0.0,24
0.27999999999999936,0.21213203435596426,1.0,0.3333333333333333,0.29833333333333273,0.3,4.0,0.7050000000000006,1.0,0.6425000000000007,0.0,2.0,0.0,23
0.27499999999999936,0.21213203435596426,1.0,0.3333333333333333,0.28499999999999936,0.2,3.0,0.7150000000000006,1.0,0.6025000000000007,0.0,1.5,0.0,22
0.26999999999999935,0.21213203435596426,1.0,0.3333333333333333,0.27999999999999936,0.2,3.0,0.7250000000000006,1.0,0.5625000000000007,0.0,1.5,0.0,21
0.26499999999999935,0.21213203435596426,1.0,0.3333333333333333,0.27499999999999936,0.2,3.0,0.7350000000000007,1.0,0.5225000000000007,0.0,1.5,0.0,20
0.25999999999999934,0.21213203435596426,1.0,0.3333333333333333,0.26999999999999935,0.2,3.0,0.7450000000000007,1.0,0.48250000000000076,0.0,1.5,0.0,19
0.25499999999999934,0.21213203435596426,1.0,0.3333333333333333,0.26499999999999935,0.2,3.0,0.7550000000000007,1.0,0.44416666666666743,0.0,1.5,0.0,18
0.24999999999999933,0.21213203435596426,1.0,0.3333333333333333,0.25999999999999934,0.2,3.0,0.7650000000000007,1.0,0.40583333333333405,0.0,1.5,0.0,17
0.24499999999999933,0.21213203435596426,1.0,0.3333333333333333,0.25499999999999934,0.2,3.0,0.7750000000000007,1.0,0.3675000000000007,0.0,1.5,0.0,16
0.23999999999999932,0.21213203435596426,1.0,0.3333333333333333,0.24999999999999933,0.2,3.0,0.7850000000000007,1.0,0.3291666666666674,0.0,1.5,0.0,15
0.23499999999999932,0.21213203435596426,1.0,0.3333333333333333,0.24499999999999933,0.2,3.0,0.7925000000000006,1.0,0.29083333333333405,0.0,1.5,0.0,14
0.22999999999999932,0.21213203435596426,1.0,0.3333333333333333,0.23999999999999932,0.2,3.0,0.8000000000000007,1.0,0.2525000000000007,0.0,1.5,0.0,13
0.2249999999999993,0.21213203435596426,1.0,0.3333333333333333,0.23499999999999932,0.2,3.0,0.8075000000000008,1.0,0.2141666666666674,0.0,1.5,0.0,12
0.2199999999999993,0.21213203435596426,1.0,0.3333333333333333,0.22999999999999932,0.2,3.0,0.8150000000000007,1.0,0.17583333333333406,0.0,1.5,0.0,11
0.2149999999999993,0.21213203435596426,1.0,0.3333333333333333,0.2249999999999993,0.2,3.0,0.8225000000000007,1.0,0.13750000000000073,0.0,1.5,0.0,10
0.2099999999999993,0.21213203435596426,1.0,0.3333333333333333,0.2199999999999993,0.2,3.0,0.8300000000000007,1.0,0.0991666666666674,0.0,1.5,0.0,9
0.2049999999999993,0.21213203435596426,0.5,0.3333333333333333,0.2149999999999993,0.2,3.0,0.41750000000000037,1.0,0.5108333333333341,0.0,1.5,0.0,8
0.1999999999999993,0.21213203435596426,0.5,0.3333333333333333,0.2099999999999993,0.2,4.0,0.4225000000000004,1.0,0.47250000000000075,0.0,1.5,0.0,7
0.19499999999999929,0.21213203435596426,0.5,0.3333333333333333,0.4666666666666662,0.3,4.0,0.4275000000000004,1.0,0.4341666666666674,0.0,1.5,0.0,6
0.18999999999999928,0.21213203435596426,0.5,0.3333333333333333,0.4599999999999995,0.3,4.0,0.4325000000000004,1.0,0.3958333333333341,0.0,1.5,0.0,5
0.18499999999999928,0.21213203435596426,0.5,0.3333333333333333,0.45333333333333287,0.3,4.0,0.4375000000000004,1.0,0.35750000000000076,0.0,1.5,0.0,4
0.17999999999999927,0.21213203435596426,0.0,0.3333333333333333,0.5824999999999996,0.4,4.0,0.0,1.0,0.785833333333334,0.0,1.5,0.0,3
0.17499999999999927,0.21213203435596426,0.0,0.3333333333333333,0.5749999999999996,0.4,5.0,0.0,1.0,0.7475000000000007,0.0,1.5,0.0,2
0.16999999999999926,0.21213203435596426,0.0,0.3333333333333333,0.5674999999999997,0.4,5.0,0.0,1.0,0.7091666666666674,0.0,1.5,0.0,1
0.16499999999999926,0.21213203435596426,0.5,0.3333333333333333,0.6459999999999997,0.5,5.0,0.41750000000000037,1.0,0.6708333333333341,0.0,1.5,0.0,0
0.15999999999999925,0.21213203435596426,0.5,0.3333333333333333,0.6379999999999997,0.5,5.0,0.4200000000000004,1.0,0.6325000000000007,0.0,1.5,0.0,0
0.3549999999999994,0.21213203435596426,1.0,0.3333333333333333,0.34199999999999936,0.8333333333333334,4.0,0.7425000000000006,0.0,0.0,0.1,1.0,0.0,34
